id,class
609,8
610,12
611,2
612,6
613,8
614,8
615,1
616,10
617,14
618,13
619,19
620,12
621,13
622,3
623,18
624,10
625,10
626,13
627,8
628,3
629,14
630,18
631,15
632,6
633,3
634,7
635,14
636,16
637,14
638,8
639,2
640,18
641,14
642,19
643,18
644,15
645,3
646,8
647,18
648,16
649,16
650,6
651,10
652,19
653,3
654,1
655,8
656,8
657,13
658,2
659,7
660,14
661,19
662,18
663,6
664,15
665,3
666,11
667,18
668,1
669,3
670,12
671,11
672,13
673,9
674,12
675,1
676,3
677,13
678,3
679,12
680,16
681,19
682,13
683,1
684,17
685,18
686,8
687,5
688,18
689,5
690,1
691,10
692,16
693,13
694,2
695,5
696,18
697,14
698,6
699,15
700,14
701,6
702,8
703,9
704,15
705,3
706,5
707,13
708,4
709,13
710,6
711,19
712,12
713,7
714,11
715,13
716,3
717,8
718,9
719,17
720,13
721,18
722,14
723,15
724,13
725,2
726,5
727,13
728,3
729,19
730,1
731,15
732,19
733,16
734,15
735,5
736,1
737,5
738,11
739,17
740,14
741,7
742,8
743,17
744,19
745,16
746,2
747,14
748,1
749,10
750,9
751,6
752,6
753,15
754,19
755,3
756,14
757,8
758,1
759,2
760,19
761,5
762,8
763,18
764,3
765,8
766,5
767,15
768,8
769,4
770,16
771,15
772,9
773,6
774,3
775,9
776,8
777,16
778,12
779,13
780,9
781,2
782,15
783,11
784,12
785,13
786,14
787,15
788,8
789,9
790,4
791,13
792,18
793,3
794,18
795,18
796,10
797,12
798,13
799,9
800,10
801,8
802,9
803,12
804,14
805,14
806,9
807,3
808,13
809,3
810,7
811,19
812,19
813,13
814,1
815,7
816,11
817,10
818,17
819,4
820,12
821,9
822,13
823,6
824,18
825,8
826,5
827,9
828,13
829,13
830,3
831,16
832,7
833,9
834,3
835,11
836,1
837,13
838,10
839,14
840,19
841,8
842,1
843,1
844,3
845,3
846,6
847,17
848,3
849,13
850,12
851,3
852,16
853,6
854,15
855,13
856,14
857,15
858,13
859,14
860,7
861,13
862,10
863,1
864,18
865,3
866,13
867,3
868,15
869,4
870,15
871,3
872,18
873,15
874,9
875,14
876,4
877,19
878,10
879,7
880,5
881,13
882,14
883,14
884,1
885,10
886,14
887,18
888,19
889,15
890,8
891,3
892,1
893,6
894,17
895,9
896,1
897,2
898,15
899,9
900,8
901,18
902,2
903,10
904,16
905,15
906,8
907,14
908,3
909,18
910,9
911,3
912,15
913,13
914,8
915,1
916,18
917,3
918,15
919,7
920,12
921,2
922,8
923,17
924,8
925,10
926,12
927,11
928,19
929,9
930,3
931,3
932,5
933,8
934,10
935,13
936,9
937,10
938,3
939,10
940,16
941,15
942,18
943,13
944,9
945,15
946,7
947,13
948,12
949,3
950,4
951,13
952,7
953,14
954,8
955,15
956,19
957,12
958,16
959,9
960,6
961,14
962,8
963,19
964,8
965,7
966,14
967,11
968,3
969,14
970,8
971,10
972,4
973,3
974,1
975,11
976,8
977,11
978,6
979,18
980,4
981,9
982,5
983,5
984,16
985,1
986,10
987,9
988,13
989,1
990,7
991,14
992,4
993,6
994,9
995,1
996,3
997,15
998,13
999,16
1000,17
1001,13
1002,18
1003,3
1004,13
1005,2
1006,11
1007,1
1008,17
1009,2
1010,18
1011,4
1012,14
1013,9
1014,6
1015,3
1016,18
1017,10
1018,9
1019,1
1020,17
1021,17
1022,13
1023,9
1024,13
1025,8
1026,3
1027,15
1028,8
1029,12
1030,2
1031,12
1032,9
1033,2
1034,5
1035,8
1036,4
1037,2
1038,13
1039,10
1040,10
1041,8
1042,3
1043,15
1044,5
1045,18
1046,6
1047,12
1048,9
1049,9
1050,13
1051,6
1052,1
1053,5
1054,14
1055,1
1056,10
1057,12
1058,16
1059,11
1060,8
1061,15
1062,8
1063,12
1064,19
1065,12
1066,8
1067,18
1068,14
1069,6
1070,1
1071,9
1072,14
1073,13
1074,9
1075,10
1076,13
1077,9
1078,9
1079,8
1080,12
1081,9
1082,10
1083,3
1084,8
1085,10
1086,12
1087,8
1088,8
1089,11
1090,7
1091,15
1092,3
1093,3
1094,6
1095,15
1096,1
1097,13
1098,6
1099,9
1100,18
1101,2
1102,18
1103,13
1104,6
1105,1
1106,10
1107,6
1108,5
1109,5
1110,8
1111,10
1112,12
1113,14
1114,11
1115,8
1116,18
1117,8
1118,4
1119,1
1120,1
1121,1
1122,16
1123,6
1124,8
1125,15
1126,5
1127,15
1128,18
1129,1
1130,17
1131,9
1132,4
1133,6
1134,9
1135,10
1136,15
1137,1
1138,9
1139,14
1140,19
1141,9
1142,9
1143,14
1144,3
1145,11
1146,1
1147,10
1148,11
1149,6
1150,15
1151,16
1152,10
1153,2
1154,6
1155,1
1156,11
1157,19
1158,1
1159,1
1160,18
1161,10
1162,11
1163,13
1164,2
1165,7
1166,10
1167,18
1168,3
1169,15
1170,11
1171,8
1172,3
1173,12
1174,3
1175,10
1176,14
1177,9
1178,14
1179,14
1180,14
1181,15
1182,12
1183,7
1184,14
1185,14
1186,15
1187,12
1188,12
1189,5
1190,3
1191,3
1192,13
1193,3
1194,9
1195,18
1196,5
1197,3
1198,4
1199,3
1200,11
1201,8
1202,10
1203,3
1204,14
1205,2
1206,14
1207,7
1208,13
1209,6
1210,15
1211,19
1212,14
1213,2
1214,7
1215,3
1216,4
1217,5
1218,3
1219,11
1220,8
1221,6
1222,3
1223,15
1224,2
1225,14
1226,9
1227,3
1228,15
1229,16
1230,3
1231,11
1232,3
1233,18
1234,8
1235,9
1236,11
1237,6
1238,16
1239,3
1240,4
1241,15
1242,18
1243,6
1244,3
1245,10
1246,6
1247,13
1248,6
1249,13
1250,16
1251,4
1252,2
1253,18
1254,18
1255,9
1256,6
1257,4
1258,5
1259,14
1260,3
1261,3
1262,13
1263,1
1264,12
1265,8
1266,4
1267,12
1268,15
1269,15
1270,4
1271,15
1272,18
1273,14
1274,15
1275,18
1276,14
1277,9
1278,1
1279,17
1280,4
1281,19
1282,15
1283,15
1284,3
1285,15
1286,5
1287,7
1288,10
1289,9
1290,7
1291,13
1292,1
1293,12
1294,12
1295,3
1296,13
1297,5
1298,15
1299,7
1300,12
1301,17
1302,6
1303,2
1304,6
1305,8
1306,15
1307,3
1308,1
1309,18
1310,1
1311,12
1312,19
1313,9
1314,6
1315,8
1316,8
1317,10
1318,14
1319,19
1320,11
1321,18
1322,12
1323,8
1324,2
1325,1
1326,13
1327,6
1328,6
1329,6
1330,16
1331,19
1332,3
1333,15
1334,19
1335,19
1336,19
1337,2
1338,6
1339,13
1340,8
1341,11
1342,13
1343,9
1344,12
1345,6
1346,15
1347,11
1348,14
1349,13
1350,8
1351,8
1352,19
1353,14
1354,2
1355,10
1356,9
1357,6
1358,4
1359,13
1360,13
1361,18
1362,13
1363,8
1364,3
1365,3
1366,13
1367,8
1368,1
1369,5
1370,6
1371,4
1372,16
1373,1
1374,16
1375,9
1376,18
1377,19
1378,15
1379,2
1380,9
1381,1
1382,16
1383,14
1384,15
1385,15
1386,13
1387,11
1388,18
1389,11
1390,4
1391,4
1392,19
1393,18
1394,12
1395,14
1396,1
1397,13
1398,3
1399,5
1400,15
1401,13
1402,3
1403,15
1404,18
1405,12
1406,18
1407,9
1408,8
1409,2
1410,11
1411,9
1412,8
1413,9
1414,18
1415,6
1416,9
1417,10
1418,14
1419,11
1420,4
1421,13
1422,1
1423,15
1424,15
1425,17
1426,9
1427,13
1428,19
1429,14
1430,3
1431,1
1432,4
1433,6
1434,3
1435,3
1436,8
1437,16
1438,13
1439,18
1440,5
1441,12
1442,15
1443,13
1444,6
1445,7
1446,4
1447,3
1448,1
1449,12
1450,4
1451,12
1452,13
1453,9
1454,17
1455,17
1456,6
1457,14
1458,4
1459,8
1460,15
1461,6
1462,6
1463,19
1464,3
1465,4
1466,12
1467,3
1468,18
1469,14
1470,3
1471,4
1472,13
1473,6
1474,14
1475,5
1476,14
1477,7
1478,7
1479,12
1480,18
1481,19
1482,3
1483,17
1484,6
1485,8
1486,8
1487,15
1488,3
1489,14
1490,8
1491,6
1492,1
1493,3
1494,17
1495,3
1496,9
1497,6
1498,8
1499,13
1500,2
1501,4
1502,18
1503,18
1504,19
1505,2
1506,15
1507,13
1508,10
1509,9
1510,5
1511,15
1512,3
1513,15
1514,14
1515,7
1516,10
1517,1
1518,8
1519,15
1520,9
1521,14
1522,6
1523,13
1524,3
1525,8
1526,9
1527,8
1528,16
1529,12
1530,9
1531,19
1532,6
1533,10
1534,1
1535,6
1536,1
1537,8
1538,13
1539,6
1540,4
1541,12
1542,1
1543,8
1544,15
1545,1
1546,19
1547,3
1548,13
1549,13
1550,15
1551,3
1552,10
1553,14
1554,1
1555,12
1556,11
1557,8
1558,8
1559,10
1560,18
1561,5
1562,8
1563,2
1564,9
1565,9
1566,19
1567,1
1568,14
1569,14
1570,14
1571,19
1572,4
1573,14
1574,5
1575,16
1576,14
1577,1
1578,18
1579,18
1580,5
1581,14
1582,19
1583,18
1584,3
1585,4
1586,5
1587,12
1588,9
1589,3
1590,4
1591,14
1592,6
1593,3
1594,3
1595,7
1596,8
1597,6
1598,3
1599,14
1600,6
1601,2
1602,18
1603,11
1604,14
1605,15
1606,18
1607,1
1608,18
1609,14
1610,12
1611,11
1612,13
1613,3
1614,14
1615,6
1616,15
1617,3
1618,1
1619,15
1620,12
1621,13
1622,1
1623,9
1624,13
1625,7
1626,13
1627,16
1628,7
1629,3
1630,15
1631,13
1632,5
1633,16
1634,8
1635,18
1636,10
1637,4
1638,17
1639,9
1640,4
1641,18
1642,12
1643,13
1644,18
1645,18
1646,18
1647,10
1648,10
1649,18
1650,13
1651,9
1652,6
1653,7
1654,1
1655,14
1656,7
1657,17
1658,13
1659,3
1660,14
1661,15
1662,13
1663,19
1664,9
1665,6
1666,7
1667,18
1668,7
1669,18
1670,6
1671,3
1672,16
1673,1
1674,3
1675,3
1676,15
1677,6
1678,12
1679,8
1680,1
1681,4
1682,18
1683,12
1684,17
1685,10
1686,18
1687,19
1688,8
1689,8
1690,14
1691,3
1692,10
1693,13
1694,3
1695,6
1696,10
1697,4
1698,12
1699,16
1700,3
1701,4
1702,6
1703,14
1704,8
1705,12
1706,3
1707,12
1708,4
1709,15
1710,16
1711,14
1712,10
1713,3
1714,1
1715,3
1716,15
1717,8
1718,15
1719,3
1720,3
1721,17
1722,16
1723,6
1724,15
1725,9
1726,13
1727,16
1728,11
1729,11
1730,5
1731,18
1732,12
1733,4
1734,5
1735,8
1736,18
1737,6
1738,6
1739,18
1740,3
1741,19
1742,16
1743,15
1744,9
1745,15
1746,15
1747,3
1748,1
1749,13
1750,11
1751,8
1752,13
1753,8
1754,17
1755,19
1756,17
1757,1
1758,13
1759,11
1760,18
1761,13
1762,16
1763,12
1764,19
1765,13
1766,3
1767,8
1768,15
1769,10
1770,1
1771,12
1772,2
1773,19
1774,4
1775,8
1776,11
1777,3
1778,15
1779,11
1780,1
1781,2
1782,7
1783,3
1784,11
1785,17
1786,12
1787,13
1788,9
1789,9
1790,12
1791,17
1792,8
1793,7
1794,3
1795,14
1796,2
1797,3
1798,1
1799,9
1800,6
1801,14
1802,18
1803,15
1804,18
1805,4
1806,15
1807,10
1808,2
1809,15
1810,10
1811,6
1812,13
1813,13
1814,12
1815,13
1816,10
1817,9
1818,14
1819,14
1820,4
1821,2
1822,14
1823,15
1824,12
1825,10
1826,19
1827,1
1828,4
1829,1
1830,12
1831,9
1832,18
1833,9
1834,11
1835,1
1836,11
1837,12
1838,16
1839,15
1840,11
1841,18
1842,3
1843,3
1844,9
1845,6
1846,13
1847,18
1848,1
1849,13
1850,19
1851,18
1852,8
1853,9
1854,14
1855,14
1856,5
1857,8
1858,10
1859,8
1860,19
1861,5
1862,13
1863,3
1864,6
1865,14
1866,9
1867,11
1868,13
1869,6
1870,17
1871,9
1872,19
1873,8
1874,1
1875,1
1876,4
1877,9
1878,16
1879,19
1880,1
1881,18
1882,17
1883,15
1884,8
1885,7
1886,12
1887,13
1888,14
1889,13
1890,9
1891,15
1892,1
1893,8
1894,13
1895,3
1896,4
1897,3
1898,14
1899,9
1900,3
1901,18
1902,8
1903,6
1904,10
1905,9
1906,10
1907,8
1908,17
1909,7
1910,14
1911,9
1912,8
1913,11
1914,16
1915,18
1916,18
1917,3
1918,8
1919,11
1920,14
1921,8
1922,1
1923,8
1924,1
1925,13
1926,8
1927,18
1928,17
1929,14
1930,9
1931,10
1932,9
1933,3
1934,14
1935,11
1936,14
1937,11
1938,6
1939,11
1940,15
1941,18
1942,6
1943,16
1944,9
1945,15
1946,8
1947,11
1948,3
1949,18
1950,13
1951,1
1952,3
1953,17
1954,6
1955,17
1956,17
1957,19
1958,9
1959,15
1960,6
1961,10
1962,8
1963,19
1964,9
1965,3
1966,11
1967,11
1968,14
1969,19
1970,2
1971,11
1972,11
1973,18
1974,15
1975,15
1976,11
1977,15
1978,1
1979,9
1980,17
1981,9
1982,15
1983,5
1984,12
1985,14
1986,14
1987,3
1988,12
1989,18
1990,19
1991,11
1992,5
1993,18
1994,13
1995,8
1996,10
1997,15
1998,4
1999,15
2000,18
2001,3
2002,10
2003,19
2004,11
2005,1
2006,8
2007,14
2008,6
2009,2
2010,12
2011,11
2012,9
2013,8
2014,2
2015,12
2016,14
2017,4
2018,8
2019,4
2020,16
2021,4
2022,13
2023,13
2024,9
2025,3
2026,9
2027,9
2028,15
2029,6
2030,13
2031,15
2032,13
2033,11
2034,4
2035,15
2036,15
2037,9
2038,12
2039,1
2040,14
2041,12
2042,11
2043,2
2044,6
2045,15
2046,5
2047,16
2048,11
2049,3
2050,12
2051,4
2052,13
2053,12
2054,12
2055,10
2056,11
2057,4
2058,15
2059,19
2060,1
2061,6
2062,19
2063,13
2064,14
2065,13
2066,19
2067,18
2068,18
2069,14
2070,1
2071,12
2072,15
2073,11
2074,8
2075,11
2076,11
2077,2
2078,1
2079,15
2080,4
2081,3
2082,8
2083,9
2084,17
2085,11
2086,6
2087,6
2088,17
2089,13
2090,8
2091,15
2092,8
2093,14
2094,18
2095,15
2096,11
2097,13
2098,10
2099,7
2100,17
2101,14
2102,12
2103,5
2104,3
2105,1
2106,4
2107,1
2108,12
2109,10
2110,10
2111,19
2112,11
2113,16
2114,10
2115,11
2116,14
2117,3
2118,3
2119,15
2120,6
2121,7
2122,13
2123,13
2124,16
2125,6
2126,10
2127,13
2128,15
2129,10
2130,18
2131,13
2132,3
2133,12
2134,9
2135,13
2136,13
2137,18
2138,3
2139,17
2140,19
2141,19
2142,6
2143,10
2144,18
2145,19
2146,14
2147,11
2148,18
2149,2
2150,3
2151,13
2152,6
2153,5
2154,18
2155,4
2156,9
2157,9
2158,14
2159,9
2160,19
2161,7
2162,3
2163,18
2164,15
2165,15
2166,11
2167,8
2168,15
2169,9
2170,13
2171,2
2172,17
2173,15
2174,9
2175,18
2176,6
2177,17
2178,19
2179,17
2180,9
2181,17
2182,7
2183,3
2184,3
2185,1
2186,7
2187,16
2188,19
2189,12
2190,8
2191,18
2192,9
2193,7
2194,8
2195,13
2196,1
2197,19
2198,5
2199,8
2200,9
2201,2
2202,6
2203,10
2204,9
2205,7
2206,14
2207,19
2208,15
2209,4
2210,15
2211,10
2212,12
2213,7
2214,9
2215,14
2216,16
2217,15
2218,17
2219,19
2220,6
2221,11
2222,4
2223,18
2224,13
2225,18
2226,19
2227,18
2228,11
2229,9
2230,13
2231,13
2232,7
2233,12
2234,9
2235,16
2236,8
2237,13
2238,15
2239,9
2240,15
2241,6
2242,2
2243,3
2244,9
2245,14
2246,13
2247,4
2248,7
2249,17
2250,14
2251,13
2252,14
2253,18
2254,13
2255,3
2256,8
2257,3
2258,10
2259,18
2260,8
2261,9
2262,7
2263,1
2264,7
2265,9
2266,1
2267,3
2268,8
2269,14
2270,10
2271,4
2272,6
2273,3
2274,18
2275,8
2276,17
2277,1
2278,2
2279,6
2280,7
2281,14
2282,4
2283,10
2284,14
2285,13
2286,9
2287,7
2288,9
2289,15
2290,14
2291,11
2292,8
2293,14
2294,1
2295,12
2296,1
2297,6
2298,8
2299,3
2300,1
2301,13
2302,8
2303,16
2304,9
2305,9
2306,8
2307,3
2308,8
2309,11
2310,1
2311,8
2312,18
2313,7
2314,10
2315,17
2316,18
2317,8
2318,8
2319,13
2320,1
2321,12
2322,8
2323,5
2324,19
2325,3
2326,6
2327,6
2328,9
2329,18
2330,2
2331,17
2332,6
2333,14
2334,10
2335,11
2336,6
2337,16
2338,13
2339,14
2340,12
2341,6
2342,2
2343,9
2344,11
2345,17
2346,7
2347,3
2348,18
2349,18
2350,3
2351,14
2352,9
2353,3
2354,18
2355,15
2356,15
2357,18
2358,7
2359,17
2360,3
2361,3
2362,10
2363,18
2364,9
2365,18
2366,3
2367,13
2368,18
2369,15
2370,13
2371,7
2372,13
2373,9
2374,16
2375,8
2376,18
2377,6
2378,9
2379,11
2380,14
2381,19
2382,8
2383,17
2384,14
2385,15
2386,10
2387,15
2388,15
2389,12
2390,2
2391,8
2392,13
2393,9
2394,10
2395,15
2396,18
2397,9
2398,1
2399,13
2400,19
2401,6
2402,2
2403,19
2404,4
2405,10
2406,14
2407,9
2408,1
2409,10
2410,3
2411,11
2412,3
2413,19
2414,1
2415,9
2416,4
2417,12
2418,11
2419,18
2420,9
2421,6
2422,8
2423,19
2424,6
2425,3
2426,6
2427,13
2428,13
2429,18
2430,8
2431,8
2432,13
2433,9
2434,2
2435,13
2436,15
2437,15
2438,6
2439,1
2440,19
2441,9
2442,8
2443,2
2444,6
2445,14
2446,1
2447,10
2448,3
2449,3
2450,18
2451,14
2452,6
2453,14
2454,9
2455,4
2456,9
2457,12
2458,18
2459,6
2460,3
2461,19
2462,12
2463,10
2464,15
2465,14
2466,14
2467,15
2468,13
2469,1
2470,4
2471,1
2472,12
2473,9
2474,6
2475,7
2476,13
2477,5
2478,19
2479,9
2480,17
2481,15
2482,14
2483,11
2484,13
2485,18
2486,18
2487,18
2488,13
2489,9
2490,19
2491,15
2492,19
2493,1
2494,1
2495,13
2496,17
2497,15
2498,3
2499,16
2500,18
2501,11
2502,8
2503,6
2504,9
2505,18
2506,12
2507,14
2508,10
2509,14
2510,12
2511,19
2512,14
2513,15
2514,3
2515,9
2516,1
2517,17
2518,9
2519,6
2520,7
2521,14
2522,7
2523,9
2524,19
2525,11
2526,14
2527,15
2528,15
2529,17
2530,14
2531,10
2532,11
2533,12
2534,18
2535,15
2536,14
2537,14
2538,4
2539,19
2540,13
2541,5
2542,16
2543,7
2544,13
2545,8
2546,18
2547,10
2548,8
2549,15
2550,1
2551,1
2552,17
2553,11
2554,3
2555,12
2556,19
2557,4
2558,3
2559,3
2560,3
2561,9
2562,18
2563,18
2564,6
2565,4
2566,9
2567,17
2568,17
2569,13
2570,14
2571,1
2572,19
2573,15
2574,11
2575,16
2576,8
2577,16
2578,3
2579,14
2580,15
2581,13
2582,3
2583,15
2584,11
2585,3
2586,9
2587,2
2588,3
2589,19
2590,8
2591,14
2592,18
2593,6
2594,19
2595,12
2596,13
2597,6
2598,8
2599,12
2600,18
2601,6
2602,18
2603,4
2604,17
2605,19
2606,14
2607,11
2608,13
2609,16
2610,17
2611,3
2612,3
2613,8
2614,8
2615,11
2616,15
2617,1
2618,19
2619,3
2620,14
2621,4
2622,4
2623,15
2624,9
2625,3
2626,18
2627,16
2628,15
2629,6
2630,4
2631,3
2632,8
2633,13
2634,8
2635,15
2636,18
2637,1
2638,2
2639,16
2640,18
2641,13
2642,6
2643,1
2644,13
2645,14
2646,5
2647,8
2648,13
2649,12
2650,10
2651,8
2652,18
2653,10
2654,17
2655,10
2656,9
2657,14
2658,6
2659,6
2660,5
2661,16
2662,7
2663,6
2664,3
2665,15
2666,7
2667,19
2668,8
2669,15
2670,3
2671,1
2672,3
2673,9
2674,10
2675,3
2676,8
2677,9
2678,17
2679,8
2680,8
2681,16
2682,5
2683,9
2684,18
2685,14
2686,10
2687,6
2688,9
2689,9
2690,19
2691,3
2692,4
2693,16
2694,5
2695,12
2696,9
2697,18
2698,17
2699,15
2700,13
2701,3
2702,14
2703,9
2704,2
2705,19
2706,14
2707,8
2708,14
2709,9
2710,11
2711,11
2712,10
2713,18
2714,9
2715,13
2716,4
2717,18
2718,14
2719,15
2720,9
2721,18
2722,15
2723,11
2724,12
2725,3
2726,13
2727,3
2728,13
2729,3
2730,13
2731,1
2732,10
2733,13
2734,6
2735,6
2736,9
2737,14
2738,4
2739,1
2740,13
2741,9
2742,13
2743,6
2744,12
2745,17
2746,8
2747,13
2748,6
2749,5
2750,8
2751,2
2752,15
2753,6
2754,1
2755,7
2756,13
2757,19
2758,14
2759,1
2760,8
2761,18
2762,14
2763,5
2764,17
2765,1
2766,1
2767,14
2768,15
2769,12
2770,15
2771,19
2772,2
2773,12
2774,8
2775,12
2776,6
2777,10
2778,7
2779,9
2780,16
2781,2
2782,15
2783,9
2784,9
2785,3
2786,18
2787,7
2788,8
2789,3
2790,8
2791,2
2792,19
2793,15
2794,8
2795,13
2796,3
2797,15
2798,1
2799,6
2800,14
2801,8
2802,6
2803,12
2804,13
2805,12
2806,17
2807,18
2808,7
2809,8
2810,19
2811,6
2812,9
2813,5
2814,15
2815,13
2816,15
2817,14
2818,18
2819,4
2820,11
2821,3
2822,10
2823,10
2824,18
2825,6
2826,12
2827,18
2828,16
2829,13
2830,11
2831,1
2832,10
2833,7
2834,13
2835,8
2836,5
2837,14
2838,19
2839,7
2840,11
2841,3
2842,17
2843,11
2844,19
2845,15
2846,15
2847,16
2848,4
2849,19
2850,1
2851,12
2852,12
2853,17
2854,8
2855,8
2856,15
2857,15
2858,2
2859,9
2860,6
2861,13
2862,13
2863,9
2864,12
2865,8
2866,17
2867,8
2868,3
2869,10
2870,8
2871,12
2872,8
2873,8
2874,14
2875,10
2876,3
2877,17
2878,1
2879,18
2880,6
2881,9
2882,3
2883,1
2884,11
2885,2
2886,10
2887,10
2888,3
2889,18
2890,8
2891,1
2892,8
2893,10
2894,3
2895,6
2896,10
2897,15
2898,15
2899,3
2900,19
2901,6
2902,16
2903,11
2904,15
2905,13
2906,10
2907,5
2908,7
2909,5
2910,19
2911,9
2912,12
2913,10
2914,14
2915,19
2916,3
2917,14
2918,7
2919,7
2920,11
2921,9
2922,15
2923,6
2924,13
2925,12
2926,9
2927,2
2928,4
2929,16
2930,9
2931,7
2932,3
2933,8
2934,1
2935,19
2936,15
2937,10
2938,3
2939,13
2940,3
2941,6
2942,6
2943,11
2944,18
2945,8
2946,9
2947,13
2948,4
2949,1
2950,12
2951,4
2952,4
2953,12
2954,9
2955,6
2956,2
2957,3
2958,13
2959,13
2960,1
2961,19
2962,4
2963,9
2964,3
2965,9
2966,6
2967,3
2968,8
2969,1
2970,4
2971,15
2972,17
2973,1
2974,3
2975,18
2976,16
2977,8
2978,18
2979,6
2980,18
2981,14
2982,15
2983,5
2984,3
2985,8
2986,9
2987,5
2988,14
2989,1
2990,17
2991,19
2992,3
2993,1
2994,1
2995,11
2996,13
2997,12
